37	13	U	-3.403139979362691E7	200
transitionprobs	8	20	0.0
transitionprobs	8	21	0.0
transitionprobs	8	22	0.0
transitionprobs	8	23	0.0
transitionprobs	8	24	0.0
transitionprobs	8	25	0.0
transitionprobs	8	26	0.0
transitionprobs	8	27	0.0
transitionprobs	8	28	0.0
transitionprobs	8	29	0.0
transitionprobs	8	30	0.0
transitionprobs	8	31	0.0
transitionprobs	8	32	0.0
transitionprobs	8	33	0.0
transitionprobs	8	34	0.0
transitionprobs	8	35	0.0
transitionprobs	8	36	0.0
transitionprobs	8	37	0.005221573720854334
transitionprobs	9	1	0.0
transitionprobs	9	2	0.0
transitionprobs	9	3	0.0
transitionprobs	9	4	0.0
transitionprobs	9	5	0.0
transitionprobs	9	6	0.0
transitionprobs	9	7	0.0013950582423860355
transitionprobs	9	8	0.04008732711690759
transitionprobs	9	9	0.9522348822117566
transitionprobs	9	10	0.0
transitionprobs	9	11	0.0
transitionprobs	9	12	0.0
transitionprobs	9	13	0.0
transitionprobs	9	14	0.0
transitionprobs	9	15	0.0
transitionprobs	9	16	0.0
transitionprobs	9	17	0.0
transitionprobs	9	18	0.0
transitionprobs	9	19	0.0
transitionprobs	9	20	0.0
transitionprobs	9	21	0.0
transitionprobs	9	22	0.0
transitionprobs	9	23	0.0
transitionprobs	9	24	0.0
transitionprobs	9	25	0.0
transitionprobs	9	26	0.0
transitionprobs	9	27	0.0
transitionprobs	9	28	0.0
transitionprobs	9	29	0.0
transitionprobs	9	30	0.0
transitionprobs	9	31	0.0
transitionprobs	9	32	0.0
transitionprobs	9	33	0.0
transitionprobs	9	34	0.0
transitionprobs	9	35	0.0
transitionprobs	9	36	0.0
transitionprobs	9	37	0.006282732428949814
transitionprobs	10	1	0.0
transitionprobs	10	2	0.0
transitionprobs	10	3	0.0
transitionprobs	10	4	0.0
transitionprobs	10	5	0.0
transitionprobs	10	6	0.0
transitionprobs	10	7	0.0
transitionprobs	10	8	0.0
transitionprobs	10	9	0.0
transitionprobs	10	10	0.8878496502538041
transitionprobs	10	11	0.031098297681540328
transitionprobs	10	12	0.07962195992414216
transitionprobs	10	13	0.0
transitionprobs	10	14	0.0
transitionprobs	10	15	0.0
transitionprobs	10	16	0.0
transitionprobs	10	17	0.0
transitionprobs	10	18	0.0
transitionprobs	10	19	0.0
transitionprobs	10	20	0.0
transitionprobs	10	21	0.0
transitionprobs	10	22	0.0
transitionprobs	10	23	0.0
transitionprobs	10	24	0.0
transitionprobs	10	25	0.0
transitionprobs	10	26	0.0
