State (User order)	H3K9me3	H3K36me3	H4K20me1	H3K79me2	H3K4me1	H3K27ac	DNase	H3K9ac	H3K4me3	H3K4me2	H2A.Z	H3K27me3	dummy
19	0.0013709390365256324	0.023247514445316683	0.031292692100039585	0.310677444000309	0.8529987001298169	0.9466516220246599	0.7576326884952772	0.8571752101665618	0.7463977075913418	0.9864073488964757	0.5830969548521953	0.0786688985523042	0.0
20	0.0018411334695151008	0.05371642670993866	0.02322645404157827	0.1303242004952564	0.7881105220368962	0.4794199915651019	0.2210421102776301	0.02131992496935119	0.026063303215454133	0.20107673779357704	0.029724666761123727	0.014098787452684801	0.0
21	0.006383593488752362	0.05411244802422165	0.001957691624850169	0.022181971714714286	0.004601396330646778	5.698243291325418E-4	0.009721692995393938	7.153580713902857E-7	3.304614220066219E-5	3.5058807357173777E-4	2.0545327987975628E-4	0.0038122362580062224	0.0
22	0.1423826409980355	0.09528638122989667	0.04373782124670955	0.37073479277490534	0.6651213970232162	0.6154163989764349	0.49925193685795105	0.60237522659638	0.7674109765346983	0.9003307589891745	0.5490856910853485	0.14378787153044306	0.0
23	0.6095238201975357	0.38627469642747114	0.005777683386678895	0.10181192040285006	0.012367673809658702	0.0015611960890947782	0.004159471177515607	5.3574856992148476E-5	0.0343252161645149	0.01567925719444857	4.978617501675244E-4	0.03871573005244037	0.0
24	0.0029535363666921654	0.0017604687929143414	1.270346668183112E-5	9.925353684014555E-4	0.0037768544995084204	4.7825695539706185E-4	0.00396509944833202	7.257265167774099E-6	2.0209171965281112E-5	6.155669582603138E-4	4.844255578233162E-4	4.8413521292109494E-4	0.0
25	0.001784223481378184	0.0022108570537575853	0.007256376752353361	0.11979523520908433	0.7966657122423777	0.7802107925968922	0.6775284913080172	0.7373296610685977	0.7926785271453204	0.9888418718518904	0.7318459560415181	0.24378326680386497	0.0
26	0.002332520818417408	0.00466784640054774	0.0031849253586715112	0.026578149251713284	0.532813921945159	0.2350441849899385	0.21499012247020596	0.008081596270059195	0.03240137243641407	0.16836196429451197	0.057260958251017464	0.10957368561163643	0.0
27	0.004987591005570204	0.002392933514852981	4.471189892668233E-5	6.770689277863661E-4	6.353573677875468E-4	4.595336046058147E-7	0.00528979454841986	2.8488333638900723E-8	2.955335632921587E-6	1.0577405164250899E-4	1.9717347532508705E-4	7.424217044593839E-4	0.0
28	0.01443967220679633	0.005500559850467	0.023800718105390323	0.07612396171444512	0.8218926981039543	0.3899303397655312	0.4868753572980435	0.43705583005715515	0.7580575005713931	0.9346801067071867	0.6219780491830291	0.7262335270800958	0.0
